reward,horizon,epsilon,ep_p,ep_v,lr_p,lr_v,mbs_p,mbs_v,lambda
59.95,8192.0,0.2,4.0,8.0,0.0005,0.0001,2048.0,256.0,0.95
59.60,8192.0,0.2,4.0,8.0,0.005,0.0001,2048.0,256.0,0.98
57.04,8192.0,0.1,4.0,8.0,0.001,0.0001,2048.0,256.0,0.98
56.39,8192.0,0.3,20.0,20.0,0.0001,0.0001,2048.0,256.0,0.98
55.56,2048.0,0.1,16.0,8.0,0.0005,0.0001,1024.0,512.0,0.9
55.43,4096.0,0.1,12.0,4.0,0.001,0.0001,2048.0,512.0,0.98
55.32,8192.0,0.1,4.0,8.0,0.005,0.0001,2048.0,256.0,0.98
52.61,8192.0,0.1,4.0,8.0,0.0005,0.0001,2048.0,256.0,0.98
52.07,8192.0,0.3,4.0,8.0,0.0005,0.005,2048.0,256.0,0.98
50.95,2048.0,0.1,16.0,8.0,0.0005,0.0001,1024.0,512.0,0.85
49.01,8192.0,0.3,4.0,8.0,0.005,0.005,2048.0,256.0,0.85
48.75,4096.0,0.1,12.0,4.0,0.001,0.0005,512.0,1024.0,0.85
48.39,4096.0,0.1,12.0,4.0,0.001,0.0001,2048.0,512.0,0.95
48.31,2048.0,0.1,16.0,8.0,0.0005,0.0001,1024.0,512.0,0.95
46.71,4096.0,0.1,12.0,4.0,0.001,0.0001,2048.0,512.0,0.98
46.67,4096.0,0.1,12.0,4.0,0.001,0.0005,256.0,512.0,0.85
45.30,4096.0,0.1,12.0,4.0,0.001,0.0005,256.0,1024.0,0.85
44.99,2048.0,0.1,16.0,8.0,0.0005,0.0005,256.0,1024.0,0.85
44.07,8192.0,0.3,4.0,20.0,0.005,0.0001,2048.0,256.0,0.98
44.02,4096.0,0.1,12.0,4.0,0.001,0.0001,2048.0,512.0,0.95
42.75,4096.0,0.1,12.0,4.0,0.001,0.0001,2048.0,512.0,0.85
42.62,4096.0,0.1,12.0,4.0,0.001,0.0001,2048.0,512.0,0.9
42.45,8192.0,0.3,4.0,20.0,0.005,0.0001,2048.0,512.0,0.98
42.23,8192.0,0.2,4.0,8.0,0.0005,0.0001,2048.0,256.0,0.98
41.86,2048.0,0.2,16.0,20.0,0.005,0.0005,512.0,1024.0,0.95
41.78,4096.0,0.1,12.0,4.0,0.001,0.0001,2048.0,1024.0,0.85
37.89,8192.0,0.3,4.0,4.0,0.0001,0.005,1024.0,2048.0,0.85
37.62,4096.0,0.1,12.0,4.0,0.001,0.0001,2048.0,512.0,0.9
36.33,4096.0,0.1,12.0,4.0,0.001,0.0001,2048.0,2048.0,0.98
